Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2RyZjcwgW7X3eMm38hZ0zo,"shelter","shelter","Kolorama",2023-09-08,125500,52,false,,2025-12-12T04:00:19Z,"lo-fi","Kolorama",0.517,0.0924,2,-26.142,1,0.031,0.942,0.935,0.129,0.131,108.054,4
spotify:track:43IS06oECXtadEuFCuqDiX,"Coffee Shop","Coffee Shop","ax am",2023-11-17,135146,56,false,,2025-12-12T04:00:19Z,"lo-fi","ax am",0.375,0.0554,7,-18.409,1,0.0697,0.875,0.925,0.112,0.338,104.205,4
spotify:track:2pe4uQh4EnCeBhY9Uo9t5D,"breathe in","breathe in","Cheeky Beez",2024-01-21,148455,52,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Chill Caterpillar",0.579,0.137,7,-15.429,1,0.0358,0.838,0.924,0.112,0.254,136.054,4
spotify:track:0Y5v0SvdTk8mga4QTmQ1AR,"Soothe Your Soul","Soothe Your Soul","Breezonic",2024-03-31,140250,49,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats","Chill Caterpillar",0.385,0.301,0,-13.013,1,0.0732,0.937,0.922,0.359,0.095,184.639,3
spotify:track:2f1ksx2y6I207HVlilYBBZ,"Under the Moon","Under the Moon","Tropicolor",2024-06-12,126000,55,false,,2025-12-12T04:00:19Z,"lo-fi","Slumber Studios",0.311,0.0746,7,-18.473,0,0.0327,0.898,0.928,0.119,0.0382,82.581,3
spotify:track:0BBtNOB7ofrOJ9PLM74EQn,"shanghai tower","shanghai tower","yellofish",2024-02-23,137142,53,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Mega-Clout Sounds",0.715,0.13,1,-15.415,0,0.112,0.596,0.896,0.111,0.501,140.095,4
spotify:track:2UKmdTfUbFrOacKeS3qkJS,"Remedies","Remedies","Illum Noyz",2023-09-22,157000,52,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Illum Noyz",0.87,0.334,1,-11.023,1,0.0878,0.61,0.958,0.105,0.583,120.135,4
spotify:track:5cnwPn0MKDPnu2rUamIRgb,"reading","reading","herbstreit",2024-01-12,161000,51,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","aisle filler",0.644,0.0421,5,-15.333,1,0.0415,0.98,0.961,0.0976,0.208,144.048,4
spotify:track:7y5FvLf4zFR4wyadweNWXy,"Blanket","Blanket","Demurely",2023-09-29,127741,54,false,,2025-12-12T04:00:19Z,"lo-fi","Demurely",0.656,0.109,7,-22.032,1,0.0414,0.898,0.946,0.109,0.0769,123.999,4
spotify:track:48mBkW6fjxqZtPskOIgiBZ,"A Logic Problem","A Logic Problem","Miss Misaki",2024-03-29,140600,48,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Miss Misaki",0.692,0.2,7,-11.133,1,0.395,0.73,0.914,0.0906,0.215,85.089,4
spotify:track:5SFKMQCsVPpb26Fg9euhr5,"after a long day","after a long day","fnonose;Juliàn",2024-09-06,144000,48,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats","fnonose",0.61,0.0345,7,-25.026,0,0.0284,0.966,0.887,0.109,0.0637,110.021,4
spotify:track:7ArMWsBYI59MmStLmWAYHj,"Aqua","Aqua","Hevi",2025-03-28,101818,48,true,,2025-12-12T04:00:19Z,"lo-fi hip hop,lo-fi,lo-fi beats","recordJet",0.658,0.142,4,-22.258,0,0.0389,0.87,0.943,0.107,0.0357,132.103,3
spotify:track:3oY2RXnYoPhtf6r552KfbN,"the clearing","the clearing","Zoe Reed",2023-11-19,148583,56,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Chill Caterpillar",0.879,0.218,3,-16.681,1,0.0777,0.566,0.79,0.103,0.663,129.997,4
