Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1qDrWA6lyx8cLECdZE7TV7,"Somebody That I Used To Know","Making Mirrors","Gotye;Kimbra",2011-01-01,244884,82,false,gianspotify85,2025-01-24T15:07:57Z,"","Universal-Island Records Ltd.",0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,4
spotify:track:67WTwafOMgegV6ABnBQxcE,"Some Nights","Some Nights","fun.",2012-02-14,277040,70,true,gianspotify85,2025-01-24T15:07:57Z,"","Fueled By Ramen",0.672,0.738,0,-7.045,1,0.0506,0.0178,0.0000675,0.0927,0.392,107.938,4
spotify:track:6F5c58TMEs1byxUstkzVeM,"Roar","PRISM (Deluxe)","Katy Perry",2013-10-18,223546,73,false,gianspotify85,2025-01-24T15:07:57Z,"pop","Capitol Records (CAP)",0.671,0.771,7,-4.821,0,0.0316,0.00492,0.00000728,0.354,0.436,90.003,4
spotify:track:7sziTn5nHwrWf4K7gISaaU,"Summer Paradise (feat. Sean Paul) - Single Version","Get Your Heart On!","Simple Plan;Sean Paul",2011-06-14,234786,62,false,gianspotify85,2025-01-24T15:07:57Z,"pop punk,punk,emo,dancehall","Atlantic Records",0.421,0.822,2,-4.415,1,0.0542,0.0132,0,0.092,0.751,171.935,4
spotify:track:0n4bITAu0Y0nigrz3MFJMb,"Blurred Lines","Blurred Lines (Deluxe)","Robin Thicke;T.I.;Pharrell Williams",2013-01-01,263826,79,true,gianspotify85,2025-01-24T15:07:57Z,"southern hip hop","The Neptunes",0.853,0.599,7,-4.756,1,0.0411,0.00334,0.00000793,0.0759,0.843,119.993,4
spotify:track:5jrdCoLpJSvHHorevXBATy,"Dark Horse","PRISM (Deluxe)","Katy Perry;Juicy J",2013-10-18,215672,75,false,gianspotify85,2025-01-24T15:07:57Z,"pop,crunk","Capitol Records (CAP)",0.647,0.585,6,-6.123,1,0.0512,0.00314,0,0.165,0.353,131.934,4
spotify:track:12eMQUn2GzfsfsQLH53M19,"Scream","Looking 4 Myself (Expanded Edition)","USHER",2012-06-12,234693,69,false,gianspotify85,2025-01-24T15:07:57Z,"r&b","RCA Records Label",0.616,0.862,7,-5.18,0,0.0973,0.00117,0,0.179,0.569,127.992,4
spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,"Wrecking Ball","Bangerz (Deluxe Version)","Miley Cyrus",2013-10-04,221366,81,false,gianspotify85,2025-01-24T15:07:57Z,"","RCA Records Label",0.53,0.422,5,-6.262,1,0.0342,0.407,0,0.107,0.349,119.964,4
spotify:track:69kOkLUCkxIZYexIgSG8rq,"Get Lucky (feat. Pharrell Williams and Nile Rodgers)","Random Access Memories","Daft Punk;Pharrell Williams;Nile Rodgers",2013-05-20,369626,78,false,gianspotify85,2025-01-24T15:07:57Z,"french house,electronic,electro","Columbia",0.81,0.793,6,-9.404,0,0.0403,0.0378,0.00000177,0.072,0.863,116.05,4
spotify:track:4GnU0spEhkpBhqhVjsX6KO,"Say It Right","Say It Right","SA;Jean Juan",2018-10-05,232741,23,false,gianspotify85,2025-01-24T15:07:57Z,"slap house","Soave Records",0.737,0.917,5,-3.534,0,0.0395,0.0125,0.000361,0.295,0.338,123.998,4
spotify:track:4RXpgGM7A4Hg7cFBoH5KyF,"Hey Brother","True","Avicii",2013-09-13,255093,4,false,gianspotify85,2025-01-24T15:07:57Z,"edm","Universal Music AB",0.545,0.78,7,-4.867,0,0.0436,0.0309,0.0000464,0.0828,0.458,125.014,4
spotify:track:2iJuuzV8P9Yz0VSurttIV5,"Scream & Shout","#willpower","will.i.am;Britney Spears",2013-01-01,283400,80,true,gianspotify85,2025-01-24T15:07:57Z,"pop","Interscope",0.772,0.685,5,-6.849,1,0.0696,0.019,0.0000896,0.131,0.501,130.039,4
spotify:track:190jyVPHYjAqEaOGmMzdyk,"Beauty And A Beat","Believe (Deluxe Edition)","Justin Bieber;Nicki Minaj",2012-06-15,227986,80,false,gianspotify85,2025-01-24T15:07:57Z,"","RBMG/Def Jam",0.602,0.843,0,-4.831,1,0.0593,0.000688,0.0000527,0.0682,0.526,128.003,4
spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,"Best Song Ever","Midnight Memories (Deluxe)","One Direction",2013-11-25,200111,76,false,gianspotify85,2025-01-24T15:07:57Z,"","Syco Music",0.652,0.877,1,-2.986,1,0.0465,0.0227,0,0.0789,0.486,118.491,4
spotify:track:4esOae7i4rqTbAu9o5Pxco,"Girl on Fire","Girl on Fire (Remixes) - EP","Alicia Keys",2012-11-18,224920,78,false,gianspotify85,2025-01-24T15:07:57Z,"r&b,neo soul","RCA Records Label",0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,4
spotify:track:2ihCaVdNZmnHZWt0fvAM7B,"Little Talks","My Head Is An Animal","Of Monsters and Men",2012-01-01,266600,82,false,gianspotify85,2025-01-24T15:07:57Z,"folk pop","Universal Records",0.457,0.757,1,-5.177,1,0.032,0.0206,0,0.146,0.417,102.961,4
spotify:track:1RKUoGiLEbcXN4GY4spQDx,"Clint Eastwood","Gorillaz","Gorillaz;Del The Funky Homosapien",2001-03-26,340920,81,true,gianspotify85,2025-01-24T15:07:57Z,"","Parlophone UK",0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,4
spotify:track:1kPpge9JDLpcj15qgrPbYX,"Good Time","The Midsummer Station","Owl City;Carly Rae Jepsen",2012-08-17,205933,77,false,gianspotify85,2025-01-24T15:07:57Z,"","Universal Records",0.56,0.872,3,-4.269,1,0.14,0.0239,0.00000698,0.371,0.682,126.05,4
spotify:track:1L5tZi0izXsi5Kk5OJf4W0,"Rehab","Back To Black","Amy Winehouse",2006-10-27,213760,65,false,gianspotify85,2025-01-24T15:07:57Z,"","Universal-Island Records Ltd.",0.434,0.872,0,-2.974,1,0.0702,0.0473,0.00000183,0.396,0.732,71.515,4
spotify:track:30FURVTCpbKyykjSEQzGkH,"Back To Black","Back To Black","Amy Winehouse",2006-10-27,240440,74,true,gianspotify85,2025-01-24T15:07:57Z,"","Universal-Island Records Ltd.",0.49,0.725,10,-3.304,1,0.0392,0.123,0.0000268,0.0983,0.335,123.28,4
spotify:track:5W3cjX2J3tjhG8zb6u0qHn,"Harder, Better, Faster, Stronger","Discovery","Daft Punk",2001-03-12,226413,74,false,gianspotify85,2025-01-24T15:07:57Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,4
